"loc_id";"int_type";"int_val";"valid_since";"date_type_since";"valid_until";"date_type_until"
"25042";"600700000";"338";;;"3000-01-01";"300500000"
"25608";"600700000";"189";;;"3000-01-01";"300500000"
"25669";"600700000";"213";;;"3000-01-01";"300500000"
"25952";"600700000";"11444";;;"3000-01-01";"300500000"
"25951";"600700000";"715";;;"3000-01-01";"300500000"
"26119";"600700000";"175";;;"3000-01-01";"300500000"
"26333";"600700000";"919";;;"3000-01-01";"300500000"
"26372";"600700000";"2279";;;"3000-01-01";"300500000"
"26426";"600700000";"286";;;"3000-01-01";"300500000"
"26443";"600700000";"173";;;"3000-01-01";"300500000"
"26625";"600700000";"979";;;"3000-01-01";"300500000"
"477";"600700000";"167279";;;"3000-01-01";"300500000"
"13379";"600700000";"1555";;;"3000-01-01";"300500000"
"13438";"600700000";"527";;;"3000-01-01";"300500000"
"13440";"600700000";"515";;;"3000-01-01";"300500000"
"13441";"600700000";"271";;;"3000-01-01";"300500000"
"13498";"600700000";"430";;;"3000-01-01";"300500000"
"13517";"600700000";"535";;;"3000-01-01";"300500000"
"13729";"600700000";"335";;;"3000-01-01";"300500000"
"13836";"600700000";"503";;;"3000-01-01";"300500000"
"14101";"600700000";"615";;;"3000-01-01";"300500000"
"14215";"600700000";"606";;;"3000-01-01";"300500000"
"14720";"600700000";"756";;;"3000-01-01";"300500000"
"14749";"600700000";"215";;;"3000-01-01";"300500000"
"14767";"600700000";"1983";;;"3000-01-01";"300500000"
"14774";"600700000";"338";;;"3000-01-01";"300500000"
"14812";"600700000";"208";;;"3000-01-01";"300500000"
"14835";"600700000";"680";;;"3000-01-01";"300500000"
"14849";"600700000";"237";;;"3000-01-01";"300500000"
"14888";"600700000";"5089";;;"3000-01-01";"300500000"
"14935";"600700000";"2323";;;"3000-01-01";"300500000"
"15378";"600700000";"942";;;"3000-01-01";"300500000"
"15789";"600700000";"583";;;"3000-01-01";"300500000"
"15823";"600700000";"1296";;;"3000-01-01";"300500000"
"15886";"600700000";"82";;;"3000-01-01";"300500000"
"16108";"600700000";"49";;;"3000-01-01";"300500000"
"16125";"600700000";"135";;;"3000-01-01";"300500000"
"16665";"600700000";"90";;;"3000-01-01";"300500000"
"16717";"600700000";"2468";;;"3000-01-01";"300500000"
"16724";"600700000";"160";;;"3000-01-01";"300500000"
"19313";"600700000";"331";;;"3000-01-01";"300500000"
"16832";"600700000";"2667";;;"3000-01-01";"300500000"
"17190";"600700000";"351";;;"3000-01-01";"300500000"
"17191";"600700000";"398";;;"3000-01-01";"300500000"
"17387";"600700000";"18";;;"3000-01-01";"300500000"
"17612";"600700000";"21";;;"3000-01-01";"300500000"
"17942";"600700000";"898";;;"3000-01-01";"300500000"
"17972";"600700000";"2481";;;"3000-01-01";"300500000"
"17973";"600700000";"323";;;"3000-01-01";"300500000"
"18433";"600700000";"459";;;"3000-01-01";"300500000"
"18453";"600700000";"925";;;"3000-01-01";"300500000"
"18595";"600700000";"76";;;"3000-01-01";"300500000"
"18639";"600700000";"85";;;"3000-01-01";"300500000"
"18682";"600700000";"741";;;"3000-01-01";"300500000"
"18697";"600700000";"194";;;"3000-01-01";"300500000"
"18745";"600700000";"765";;;"3000-01-01";"300500000"
"18761";"600700000";"21000";;;"3000-01-01";"300500000"
"18824";"600700000";"648";;;"3000-01-01";"300500000"
"18971";"600700000";"745";;;"3000-01-01";"300500000"
"19068";"600700000";"648";;;"3000-01-01";"300500000"
"19110";"600700000";"220";;;"3000-01-01";"300500000"
"19141";"600700000";"186";;;"3000-01-01";"300500000"
"19350";"600700000";"946";;;"3000-01-01";"300500000"
"19458";"600700000";"945";;;"3000-01-01";"300500000"
"19582";"600700000";"922";;;"3000-01-01";"300500000"
"19584";"600700000";"62";;;"3000-01-01";"300500000"
"19627";"600700000";"244";;;"3000-01-01";"300500000"
"19846";"600700000";"1515";;;"3000-01-01";"300500000"
"19924";"600700000";"134";;;"3000-01-01";"300500000"
"19932";"600700000";"3119";;;"3000-01-01";"300500000"
"20059";"600700000";"7646";;;"3000-01-01";"300500000"
"20182";"600700000";"67";;;"3000-01-01";"300500000"
"20309";"600700000";"2635";;;"3000-01-01";"300500000"
"20353";"600700000";"678";;;"3000-01-01";"300500000"
"20476";"600700000";"334";;;"3000-01-01";"300500000"
"20917";"600700000";"361";;;"3000-01-01";"300500000"
"20931";"600700000";"3691";;;"3000-01-01";"300500000"
"21287";"600700000";"951";;;"3000-01-01";"300500000"
"21484";"600700000";"1311";;;"3000-01-01";"300500000"
"21600";"600700000";"620";;;"3000-01-01";"300500000"
"21601";"600700000";"9183";;;"3000-01-01";"300500000"
"21776";"600700000";"643";;;"3000-01-01";"300500000"
"21781";"600700000";"34";;;"3000-01-01";"300500000"
"21805";"600700000";"2263";;;"3000-01-01";"300500000"
"21810";"600700000";"427";;;"3000-01-01";"300500000"
"22056";"600700000";"372";;;"3000-01-01";"300500000"
"22105";"600700000";"488";;;"3000-01-01";"300500000"
"22148";"600700000";"1320";;;"3000-01-01";"300500000"
"22149";"600700000";"649";;;"3000-01-01";"300500000"
